line_name,raw_annual_mean_c,raw_jas_mean_c,raw_cdd24,raw_hdd18,raw_days,scenario,model,year,pattern,downscaled_annual_mean_c,downscaled_jas_mean_c,downscaled_cdd24,downscaled_hdd18,downscaled_days,downscaled_minus_raw_c
太福二回（472）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
太禾线（458）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
太金线（457）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
宁凉线（457）,19.114214,27.819033,503.18668,1108.9357,365,ssp126,ACCESS-CM2,2030,Pattern 1,17.55497017284226,26.724918315775607,305.93662137143554,1318.220561534834,365,-1.5592437706391848
小周线(452),18.960611,27.650126,484.23944,1119.5774,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.855185049678745,28.262065301922416,474.37370642040145,1118.6258667393645,365,-0.10542629370504386
平升一回（455）,18.313448,27.052149,417.28867,1242.5016,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.184738238315717,27.49254842927178,386.2088181464355,1225.0545395560137,365,-0.12870971395479103
平升二回（459）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.047467290309203,27.352919376666375,371.61808565467527,1244.0969071876573,365,-0.7132233987777106
平登线（458）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.047467290309203,27.352919376666375,371.61808565467527,1244.0969071876573,365,-0.7132233987777106
平贝线（456）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.047467290309203,27.352919376666375,371.61808565467527,1244.0969071876573,365,-0.7132233987777106
平铁线（457）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,18.047467290309203,27.352919376666375,371.61808565467527,1244.0969071876573,365,-0.7132233987777106
映周线(451),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
映天一回(455),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
映天三回(466),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
映天二回(468),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
映平线（453）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.047467290309203,27.352919376666375,371.61808565467527,1244.0969071876573,365,-0.7132233987777106
映水线(472),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
映流三回(454),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
映流二回(473),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
映流线(453),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
映申线(474),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
映登线(452),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,18.047467290309203,27.352919376666375,371.61808565467527,1244.0969071876573,365,-0.7132233987777106
映祥线(471),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
映龙二回(469),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
未来城一回（459）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
未来城二回（477）,18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
枇杷坪一回(457),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
枇杷坪七回(468),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
枇杷坪三回(465),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 2,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
枇杷坪二回(458),18.76069,27.46951,463.78757,1159.5571,365,ssp126,ACCESS-CM2,2030,Pattern 1,19.29000722233211,28.81208153670745,532.1931312007987,1062.302732527517,365,0.529316533245197
